round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,hidden_activations,loss,optimizer,units
200,0.005680489353835583,0.5544599890708923,0.008449406363070011,0.3393999934196472,softmax,1000,relu,mse,adam,120
200,0.0036978069692850113,0.7429400086402893,0.009240984916687012,0.3463999927043915,softmax,1000,relu,mse,adam,240
200,0.009803659282624722,0.05570000037550926,0.009763757698237896,0.05790000036358833,softmax,1000,relu,mse,adagrad,120
200,0.009841836988925934,0.061980001628398895,0.00976525992155075,0.07010000199079514,softmax,1000,relu,mse,adagrad,240
200,3.736588954925537,0.2160000056028366,3.7733266353607178,0.2069000005722046,softmax,1000,relu,categorical_crossentropy,adam,120
200,2.5604794025421143,0.19776000082492828,2.5654375553131104,0.19930000603199005,softmax,1000,relu,categorical_crossentropy,adam,240
200,2.8961029052734375,0.07884000241756439,2.8711817264556885,0.07519999891519547,softmax,1000,relu,categorical_crossentropy,adagrad,120
200,2.778895378112793,0.1394599974155426,2.744112730026245,0.14800000190734863,softmax,1000,relu,categorical_crossentropy,adagrad,240
200,0.00950243603438139,0.05063999816775322,0.009503170847892761,0.05000000074505806,softmax,1000,sigmoid,mse,adam,120
200,0.009505633264780045,0.0485600009560585,0.00950475875288248,0.05000000074505806,softmax,1000,sigmoid,mse,adam,240
200,0.042226675897836685,0.05023999884724617,0.0420958511531353,0.05000000074505806,softmax,1000,sigmoid,mse,adagrad,120
200,0.022038251161575317,0.05000000074505806,0.02198951318860054,0.05000000074505806,softmax,1000,sigmoid,mse,adagrad,240
200,1.9379160404205322,0.3975200057029724,2.576850175857544,0.251800000667572,softmax,1000,sigmoid,categorical_crossentropy,adam,120
200,1.5502715110778809,0.5188599824905396,2.6661627292633057,0.2937000095844269,softmax,1000,sigmoid,categorical_crossentropy,adam,240
200,3.009397268295288,0.04981999844312668,3.0093371868133545,0.05000000074505806,softmax,1000,sigmoid,categorical_crossentropy,adagrad,120
200,3.002774477005005,0.04915999993681908,3.002668857574463,0.05000000074505806,softmax,1000,sigmoid,categorical_crossentropy,adagrad,240
200,0.006211666855961084,0.5079799890518188,0.008206858299672604,0.3449000120162964,softmax,2000,relu,mse,adam,120
200,0.009999999776482582,0.05000000074505806,0.009999998845160007,0.05000000074505806,softmax,2000,relu,mse,adam,240
200,0.009915939532220364,0.04410000145435333,0.009865015745162964,0.0568000003695488,softmax,2000,relu,mse,adagrad,120
200,0.01000757422298193,0.04230000078678131,0.009916303679347038,0.045499999076128006,softmax,2000,relu,mse,adagrad,240
200,3.9670491218566895,0.14234000444412231,3.9437179565429688,0.1581999957561493,softmax,2000,relu,categorical_crossentropy,adam,120
200,3.208073854446411,0.18979999423027039,3.506124973297119,0.11640000343322754,softmax,2000,relu,categorical_crossentropy,adam,240
200,3.3784830570220947,0.15167999267578125,3.344069480895996,0.15700000524520874,softmax,2000,relu,categorical_crossentropy,adagrad,120
200,3.425778388977051,0.12744000554084778,3.398033618927002,0.13220000267028809,softmax,2000,relu,categorical_crossentropy,adagrad,240
200,0.009502314031124115,0.048579998314380646,0.009501700289547443,0.05000000074505806,softmax,2000,sigmoid,mse,adam,120
200,0.009503086097538471,0.050620000809431076,0.009502490051090717,0.05000000074505806,softmax,2000,sigmoid,mse,adam,240
200,0.08693080395460129,0.00019999999494757503,0.08670032769441605,0.0,softmax,2000,sigmoid,mse,adagrad,120
200,0.04371756687760353,0.05000000074505806,0.04359222576022148,0.05000000074505806,softmax,2000,sigmoid,mse,adagrad,240
200,2.085007667541504,0.33456000685691833,2.611100673675537,0.22589999437332153,softmax,2000,sigmoid,categorical_crossentropy,adam,120
200,1.7711234092712402,0.4515799880027771,2.75563645362854,0.2476000040769577,softmax,2000,sigmoid,categorical_crossentropy,adam,240
200,3.0276362895965576,0.049479998648166656,3.0274882316589355,0.05000000074505806,softmax,2000,sigmoid,categorical_crossentropy,adagrad,120
200,3.010774612426758,0.04893999919295311,3.0106821060180664,0.05339999869465828,softmax,2000,sigmoid,categorical_crossentropy,adagrad,240
200,0.005651712417602539,0.5555999875068665,0.008357159793376923,0.34299999475479126,sigmoid,1000,relu,mse,adam,120
200,0.0036977524869143963,0.7419800162315369,0.009150578640401363,0.34540000557899475,sigmoid,1000,relu,mse,adam,240
200,0.009810023941099644,0.047860000282526016,0.009761870838701725,0.050599999725818634,sigmoid,1000,relu,mse,adagrad,120
200,0.009858398698270321,0.06013999879360199,0.009787105023860931,0.0697999969124794,sigmoid,1000,relu,mse,adagrad,240
200,5.6833882331848145,0.20961999893188477,5.699222087860107,0.2054000049829483,sigmoid,1000,relu,categorical_crossentropy,adam,120
200,3.79463529586792,0.19765999913215637,3.813865900039673,0.19380000233650208,sigmoid,1000,relu,categorical_crossentropy,adam,240
200,2.8007071018218994,0.1455399990081787,2.7674739360809326,0.16830000281333923,sigmoid,1000,relu,categorical_crossentropy,adagrad,120
200,2.905465602874756,0.08337999880313873,2.8817503452301025,0.09539999812841415,sigmoid,1000,relu,categorical_crossentropy,adagrad,240
200,0.009503600187599659,0.04981999844312668,0.009503033012151718,0.05000000074505806,sigmoid,1000,sigmoid,mse,adam,120
200,0.009506185539066792,0.04839999973773956,0.009507548995316029,0.05000000074505806,sigmoid,1000,sigmoid,mse,adam,240
200,0.03992909938097,0.04255999997258186,0.03981124237179756,0.05000000074505806,sigmoid,1000,sigmoid,mse,adagrad,120
200,0.022618122398853302,0.049559999257326126,0.022566799074411392,0.05000000074505806,sigmoid,1000,sigmoid,mse,adagrad,240
